"term","estimate","beta_std","conf.low","conf.high","std.error","statistic","p.value","outcome","r2_adj","f2"
"generoFemale",-2.59462513751922,-0.149416106365865,-5.58820961678894,0.398959341750495,1.50482911272827,-1.72419919017591,0.0884399665984076,"rey_memoria",0.398498556608667,0.763878742791034
"dom_L1L2",-0.0250559195933607,-0.00358294507058161,-1.41002674134742,1.35991490216069,0.696203640581116,-0.0359893544544621,0.971378315128399,"rey_memoria",0.398498556608667,0.763878742791034
"acculturation_mean",1.25716215987086,0.0895110055233511,-1.81957405594702,4.33389837568875,1.54662821838175,0.812840568230576,0.418663214888114,"rey_memoria",0.398498556608667,0.763878742791034
"edad",-0.0814556302624447,-0.115623996935775,-0.23678186961571,0.0738706090908201,0.0780801238675628,-1.04323131454821,0.299907046559609,"rey_copia",0.346211560605542,0.622811823865802
"educacion",0.653391446466489,0.321585158679654,0.175503471733119,1.13127942119986,0.240226972708304,2.71989210495472,0.00797016208770472,"rey_copia",0.346211560605542,0.622811823865802
"generoFemale",-1.91145201446438,-0.111163112113099,-5.00187052725635,1.1789664983276,1.55350609971705,-1.23041165709779,0.2220610098866,"rey_copia",0.346211560605542,0.622811823865802
"dom_L1L2",-1.25985241303011,-0.181938235672935,-2.68962314335858,0.169918317298367,0.718723869135614,-1.75290186834242,0.0833563262119955,"rey_copia",0.346211560605542,0.622811823865802
"acculturation_mean",1.6596182517337,0.119335000983615,-1.5166417222827,4.8358782257501,1.59665728880965,1.03943298500268,0.301658629694008,"rey_copia",0.346211560605542,0.622811823865802
"edad",0.0781607239647471,0.0774702560404219,-0.107523793648887,0.263845241578381,0.0933407658353664,0.837369645140969,0.404818776090797,"flu_fon_total",0.544447886762444,1.32898844923771
"educacion",1.5214627087564,0.522881664660405,0.950172253060082,2.09275316445272,0.287178970731885,5.29796003126171,9.65241208736676e-07,"flu_fon_total",0.544447886762444,1.32898844923771
"generoFemale",-5.61069666962065,-0.227841921804356,-9.30513280070413,-1.91626053853717,1.85713651432542,-3.02115467890559,0.00335783834268003,"flu_fon_total",0.544447886762444,1.32898844923771
"dom_L1L2",-2.0682389972424,-0.208556907044576,-3.77745625161325,-0.35902174287156,0.859197360945093,-2.40717568658195,0.0183221497455075,"flu_fon_total",0.544447886762444,1.32898844923771
